date;N10D;GPRD;GPRD_ACT;GPRD_THREAT
18.08.1986;371;142.86;124.62;148.49
19.08.1986;368;99.02;107.69;74.85
20.08.1986;406;73.43;81.34;54.28
21.08.1986;452;58.63;58.45;48.75
22.08.1986;403;65.76;65.56;68.35
23.08.1986;277;119.59;119.22;119.33
24.08.1986;485;61.47;95.33;34.08
25.08.1986;381;121.72;104.01;144.59
26.08.1986;366;153.86;180.46;135.47
27.08.1986;417;87.38;79.19;118.90
28.08.1986;413;80.21;111.94;66.70
29.08.1986;414;88.02;95.72;79.84
30.08.1986;267;111.66;98.95;123.80
31.08.1986;460;64.81;43.07;83.83
01.09.1986;260;89.18;177.82;42.38
02.09.1986;338;88.20;39.08;130.39
03.09.1986;388;59.76;68.09;56.79
04.09.1986;411;72.54;64.28;67.02
05.09.1986;431;84.54;76.62;76.69
06.09.1986;271;256.69;438.69;81.31
07.09.1986;519;127.65;178.16;106.15
08.09.1986;372;133.57;177.55;88.85
09.09.1986;394;151.34;201.16;111.86
10.09.1986;413;88.23;111.94;53.36
11.09.1986;432;138.02;168.18;114.77
12.09.1986;442;67.45;89.66;37.39
13.09.1986;283;93.64;23.34;136.27
14.09.1986;529;106.45;99.88;104.14
15.09.1986;374;70.86;105.96;29.46
16.09.1986;421;102.29;141.19;78.51
17.09.1986;458;115.72;129.79;120.28
18.09.1986;464;99.95;85.41;106.86
19.09.1986;462;129.06;142.96;107.32
20.09.1986;292;124.79;113.09;113.20
21.09.1986;521;108.09;152.12;63.44
22.09.1986;351;188.75;188.17;188.34
23.09.1986;416;167.22;111.14;185.40
24.09.1986;447;163.03;132.98;184.87
25.09.1986;467;85.12;84.86;94.37
26.09.1986;448;184.85;235.88;172.16
27.09.1986;281;141.46;70.51;196.05
28.09.1986;514;77.34;77.10;85.74
29.09.1986;376;105.72;105.39;102.56
30.09.1986;410;121.19;48.33;161.24
01.10.1986;423;109.64;46.84;143.26
02.10.1986;454;102.15;87.29;133.48
03.10.1986;452;109.93;102.29;109.69
04.10.1986;303;131.19;108.99;145.45
